"","B14.5new.bam","B15.5new.bam","B17.5new.bam","B20new.bam","B34new.bam","C14.5new.bam","C15.5new.bam","C17.5new.bam","C20new.bam","C34new.bam"
"MSTRG.427",0,0,0,0,0,0,0,0,0,0
"MSTRG.428",0,0,0,0,0,0,0,0,0,0
"MSTRG.429",1,0,2,5,0,0,2,1,5,2
"MSTRG.430",2469,1983,1884,1857,2443,2104,1800,1406,1923,2981
"MSTRG.431",17,7,6,12,9,15,8,4,17,12
"MSTRG.432",206,157,278,192,237,259,181,188,173,332
"MSTRG.433",23,6,13,7,10,22,6,4,3,9
"MSTRG.434",46,27,47,26,29,21,26,5,20,15
"MSTRG.435",5,13,11,5,1,13,8,2,3,5
"MSTRG.436",15,18,9,16,10,9,12,9,10,24
"MSTRG.437",4,3,1,5,3,1,7,1,0,11
"MSTRG.438",0,0,0,0,1,0,0,0,0,0
"MSTRG.439",33,49,53,35,11,50,29,39,35,9
"MSTRG.440",12,14,15,13,8,22,12,4,19,4
"MSTRG.441",21,29,53,35,13,24,29,10,16,7
"MSTRG.442",30,19,15,24,19,15,22,10,17,22
"MSTRG.443",7,6,1,10,9,0,7,2,16,5
"MSTRG.444",1127,1341,1440,1209,986,1296,974,747,881,410
"MSTRG.445",306,294,78,102,72,100,175,97,112,156
"MSTRG.446",5,8,6,4,1,10,9,1,5,2
"MSTRG.447",2590,1730,1062,962,1200,1996,1789,1342,1297,1369
"MSTRG.448",0,0,0,0,0,0,0,0,0,0
"MSTRG.449",808,592,494,477,242,746,451,488,414,309
"MSTRG.450",10,5,4,8,4,9,7,3,8,6
"MSTRG.451",0,0,1,1,0,2,0,0,0,0
"MSTRG.452",3514,4153,5175,6398,4689,4437,4378,4423,5552,3175
"MSTRG.453",1252,1058,895,1120,1077,986,1064,1504,1462,1436
"MSTRG.454",1233,1507,736,1152,1023,1024,1300,1489,1324,765
"MSTRG.455",1,1,1,0,0,1,1,0,3,0
"MSTRG.456",0,0,0,0,0,0,0,0,0,0
"MSTRG.457",3,4,4,1,1,4,1,0,1,1
"MSTRG.458",0,1,0,0,0,1,0,0,0,0
"MSTRG.459",16,19,9,2,13,5,6,5,10,5
"MSTRG.460",0,0,0,0,0,0,0,0,0,0
"MSTRG.461",0,0,0,0,0,1,0,0,0,0
"MSTRG.462",7,13,14,12,40,9,9,13,11,77
"MSTRG.463",449,441,496,547,1046,588,424,237,493,1141
"MSTRG.464",4,7,3,16,8,11,8,3,12,4
"MSTRG.465",23,38,27,23,13,17,29,20,14,16
"MSTRG.466",0,0,0,0,0,0,0,0,0,0
"MSTRG.467",2,3,0,1,0,7,0,5,5,0
"MSTRG.468",4,4,5,0,2,10,0,6,4,0
"MSTRG.469",109,141,212,307,1006,256,230,220,528,3243
"MSTRG.470",0,0,0,0,0,0,0,0,0,0
"MSTRG.471",0,0,0,0,0,0,0,0,0,0
"MSTRG.472",10,21,18,25,52,23,18,8,30,353
"MSTRG.473",698,700,531,485,751,639,642,699,617,1009
"MSTRG.474",122,174,212,341,305,182,247,200,420,93
"MSTRG.475",0,2,2,3,1,1,2,2,0,1
"MSTRG.476",5191,4527,2915,3536,1648,3617,3652,3145,3449,1413
"MSTRG.477",134,129,149,129,186,164,182,111,204,194
"MSTRG.478",859,692,474,358,175,550,537,529,406,197
"MSTRG.479",51,47,41,35,65,56,44,16,63,72
"MSTRG.480",6,1,3,5,4,2,3,1,3,6
"MSTRG.481",981,851,575,509,421,752,728,500,694,604
"MSTRG.482",0,0,0,0,0,0,0,0,0,0
"MSTRG.483",14,4,132,36,48,99,5,18,2,9
"MSTRG.484",18,15,18,17,36,21,26,14,21,30
"MSTRG.485",0,0,0,0,0,0,0,0,0,0
"MSTRG.486",249,314,302,477,563,257,243,278,274,297
"MSTRG.487",34,34,19,16,8,25,17,10,16,29
"MSTRG.488",64,43,75,44,18,53,35,35,21,48
"MSTRG.489",12,21,15,10,5,6,4,0,7,7
"MSTRG.490",0,0,0,0,1,0,0,0,0,5
"MSTRG.491",29,48,71,67,27,38,81,25,45,38
"MSTRG.492",0,0,0,5,18,0,0,0,1,3
"MSTRG.493",13,29,68,91,315,71,376,410,403,2533
"MSTRG.494",0,0,0,0,0,0,0,0,0,1
"MSTRG.495",15,17,51,27,32,30,45,9,20,29
"MSTRG.496",0,3,0,1,1,3,4,3,3,2
"MSTRG.497",34,30,27,30,43,38,19,21,27,57
"MSTRG.498",0,0,1,0,0,0,0,0,0,0
"MSTRG.499",1803,1724,1464,1756,1897,2417,1773,1321,1950,3273
"MSTRG.500",78,181,481,1194,3886,21,25,77,147,158
"MSTRG.501",450,356,231,314,221,537,337,300,407,462
"MSTRG.502",336,320,275,354,364,340,324,282,382,668
"MSTRG.503",1900,1269,907,819,524,2468,1328,556,793,424
"MSTRG.504",1,1,0,0,0,1,0,0,1,0
"MSTRG.505",2,4,9,2,4,3,3,27,6,10
"MSTRG.506",0,0,0,2,0,3,1,2,0,4
"MSTRG.507",9,5,6,1,3,2,6,1,0,2
"MSTRG.508",702,891,700,1016,2301,927,826,808,1131,2627
"MSTRG.509",29,15,24,13,6,23,21,17,32,36
"MSTRG.510",1040,1097,1886,2122,2020,1356,1729,1347,2569,3841
"MSTRG.511",0,0,0,0,1,0,0,0,0,0
"MSTRG.512",1,2,2,4,3,4,2,1,3,4
"MSTRG.513",911,648,764,813,517,531,484,584,516,305
"MSTRG.514",181,120,100,117,63,169,105,95,120,116
"MSTRG.515",3,5,9,4,10,6,6,0,2,8
"MSTRG.516",0,0,0,0,0,0,3,0,0,0
"MSTRG.517",4,4,4,5,2,7,4,3,3,4
"MSTRG.518",0,0,1,1,0,0,0,0,0,2
"MSTRG.519",49,65,189,451,4399,55,93,89,190,2958
"MSTRG.520",0,0,0,0,3,0,0,0,0,1
"MSTRG.521",1726,1411,1228,1393,915,2448,1490,925,1404,1263
"MSTRG.522",11,18,9,19,19,14,21,12,21,23
"MSTRG.523",50,54,70,83,66,54,69,78,137,85
"MSTRG.524",0,0,0,0,0,0,0,0,1,1
"MSTRG.525",0,0,1,0,0,0,0,0,0,0
"MSTRG.526",13,8,8,13,13,14,14,10,16,8
"MSTRG.527",0,0,0,0,0,1,0,0,0,0
"MSTRG.528",4385,3725,3222,2973,1204,3208,3146,3948,2326,1035
"MSTRG.529",0,0,0,0,0,0,0,0,0,0
"MSTRG.530",887,719,642,658,961,1047,819,323,802,1522
"MSTRG.531",0,0,0,0,0,0,0,0,0,0
"MSTRG.532",915,611,669,636,388,838,543,620,549,398
"MSTRG.533",1038,1571,2712,3656,5322,2025,2753,4617,5320,2833
"MSTRG.534",0,0,1,2,2,0,0,1,0,0
"MSTRG.535",16,21,16,13,9,18,26,16,17,10
"MSTRG.536",62,88,103,183,247,200,187,258,278,275
"MSTRG.537",0,0,0,0,0,0,0,0,0,0
"MSTRG.538",649,499,510,487,540,572,604,345,608,870
"MSTRG.539",0,0,0,0,0,1,0,0,0,0
"MSTRG.540",155,134,111,101,70,97,139,132,149,65
"MSTRG.541",485,454,222,184,58,248,321,261,200,65
"MSTRG.542",1776,1498,1064,986,301,1456,943,705,698,317
"MSTRG.543",61,39,90,70,185,48,75,41,48,522
"MSTRG.544",0,0,0,0,2,0,0,0,0,0
"MSTRG.545",159,211,201,214,179,134,177,205,211,98
"MSTRG.546",55,59,94,54,61,83,168,42,115,54
"MSTRG.547",52,68,154,64,37,150,253,36,153,76
"MSTRG.548",0,0,0,0,0,1,0,0,0,0
"MSTRG.549",0,0,0,0,0,0,0,0,0,0
"MSTRG.550",1243,1101,962,1189,2288,1455,1109,1617,1443,2821
"MSTRG.551",0,0,0,0,0,5,13,4,3,1
"MSTRG.552",224,168,111,107,139,210,127,105,85,164
"MSTRG.553",1,1,2,1,1,0,5,0,0,1
"MSTRG.554",20,13,45,50,73,25,25,24,40,59
"MSTRG.555",601,431,652,725,843,471,410,878,662,693
"MSTRG.556",0,0,0,0,0,0,0,0,0,0
"MSTRG.557",106,109,163,177,650,160,200,150,287,560
"MSTRG.558",1521,1231,1090,879,488,958,981,984,767,318
"MSTRG.559",115,54,17,17,1,2,0,5,0,0
"MSTRG.560",23,25,25,43,40,0,7,2,6,0
"MSTRG.561",6,5,7,5,8,3,4,4,6,9
"MSTRG.562",8,11,13,1,0,15,18,3,0,1
"MSTRG.563",16,8,16,3,3,39,16,25,4,5
"MSTRG.564",0,0,0,0,0,1,0,0,0,0
"MSTRG.565",1,0,0,0,2,0,0,1,0,1
"MSTRG.566",2421,2519,3235,3414,3006,2354,2050,1944,1818,3458
"MSTRG.567",1,0,0,0,0,0,0,1,0,0
"MSTRG.568",24,14,10,30,15,15,18,12,9,17
"MSTRG.569",0,0,0,0,1,1,1,0,0,0
"MSTRG.570",1,0,0,0,0,0,0,0,1,0
"MSTRG.571",0,0,1,2,1,0,1,0,2,0
"MSTRG.572",1007,1185,1446,1810,1830,1630,1422,916,1431,2702
"MSTRG.573",0,1,0,1,0,1,0,0,0,1
"MSTRG.574",0,0,1,0,0,1,0,0,0,0
"MSTRG.575",1185,953,1111,1148,843,1135,759,782,901,635
"MSTRG.576",8,9,15,14,15,10,6,12,13,18
"MSTRG.577",1501,1275,1367,1435,1199,1486,1044,537,767,554
"MSTRG.578",0,1,0,0,0,0,0,0,0,0
"MSTRG.579",0,0,0,0,0,0,0,0,1,0
"MSTRG.580",0,0,0,1,1,2,1,0,0,1
"MSTRG.581",0,0,0,0,0,1,0,0,0,0
"MSTRG.582",58,63,115,168,103,210,239,110,142,48
"MSTRG.583",0,0,1,0,0,0,1,0,0,0
"MSTRG.584",0,0,0,1,0,0,1,0,1,0
"MSTRG.585",2,4,5,4,1,2,3,3,4,1
"MSTRG.586",819,770,618,576,602,676,600,578,610,313
"MSTRG.587",0,0,0,0,0,0,0,1,0,0
"MSTRG.588",271,372,494,723,1327,290,413,733,701,731
"MSTRG.589",50,56,34,31,15,41,45,33,24,5
"MSTRG.590",24,18,21,21,66,16,11,16,27,46
"MSTRG.591",177,212,262,325,563,280,285,394,440,761
"MSTRG.592",1623,1312,1141,1264,1650,1615,1089,750,1007,2760
"MSTRG.593",1502,1057,1219,1093,1062,1302,940,865,1085,1601
"MSTRG.594",1509,1039,926,970,513,1557,868,1207,850,699
"MSTRG.595",9,6,9,10,12,15,19,9,17,9
"MSTRG.596",250,199,198,234,155,140,195,238,220,170
"MSTRG.597",5,2,5,5,3,3,1,3,3,3
"MSTRG.598",0,0,0,0,0,0,0,0,0,0
"MSTRG.599",4885,3423,2447,2932,1375,4357,2452,2261,2498,1160
"MSTRG.600",16,7,21,14,4,12,3,3,11,1
"MSTRG.601",42,43,49,39,2,37,29,16,20,7
"MSTRG.602",57,60,78,54,5,70,46,25,26,24
"MSTRG.603",1328,1410,1702,1710,729,1721,1207,931,1063,740
"MSTRG.604",5,3,2,1,1,6,3,5,5,3
"MSTRG.605",9,15,11,15,4,4,1,14,17,4
"MSTRG.606",0,0,0,2,0,1,0,1,3,1
"MSTRG.607",495,486,337,366,190,417,379,336,316,265
"MSTRG.608",28,30,25,34,14,18,8,13,12,13
"MSTRG.609",8,1,2,6,3,2,1,4,4,0
"MSTRG.610",1,1,2,0,0,0,1,1,4,0
"MSTRG.611",19,12,18,19,13,18,15,11,22,12
"MSTRG.612",1107,1145,1242,1159,1113,1235,1007,667,976,1340
"MSTRG.613",340,283,331,499,1199,438,395,394,572,1601
"MSTRG.614",1604,1402,1726,1602,1118,1448,1233,683,1260,1115
"MSTRG.615",0,0,0,0,0,0,0,1,1,0
"MSTRG.616",563,515,467,462,494,973,665,614,643,962
"MSTRG.617",6,4,23,13,204,10,10,29,142,379
"MSTRG.618",2179,1844,1764,1358,857,2058,1511,1056,1105,1057
"MSTRG.619",573,375,292,292,250,285,225,177,292,306
"MSTRG.620",1,4,2,2,1,2,2,2,3,0
"MSTRG.621",9,5,6,19,11,9,8,10,8,8
"MSTRG.622",88,62,159,110,168,132,96,158,133,186
"MSTRG.623",125,99,151,156,209,227,110,174,144,239
"MSTRG.624",1,4,4,2,1,3,1,4,2,1
"MSTRG.625",6,9,3,1,1,19,31,14,16,1
"MSTRG.626",76,95,152,166,195,192,167,98,189,281
"MSTRG.627",0,0,0,0,0,0,0,0,0,0
"MSTRG.628",26,14,12,6,12,9,9,2,7,9
"MSTRG.629",1204,1047,987,1168,996,1495,1113,915,1025,1139
"MSTRG.630",0,0,0,0,0,0,0,0,0,0
"MSTRG.631",14,12,8,7,10,15,14,15,13,12
"MSTRG.632",0,4,2,0,0,0,1,0,0,0
"MSTRG.633",1,2,1,0,0,3,0,1,0,0
"MSTRG.634",35,35,45,55,251,64,53,27,89,528
"MSTRG.635",140,174,226,207,334,177,220,170,267,533
"MSTRG.636",3,0,4,2,0,0,6,0,0,3
"MSTRG.637",12,14,10,10,6,13,12,9,6,15
"MSTRG.638",30,18,18,40,22,36,37,23,45,21
"MSTRG.639",4820,3720,2528,2508,1449,3099,3454,3571,2971,2166
"MSTRG.640",370,433,361,515,706,473,478,544,590,563
"MSTRG.641",12,9,12,17,37,13,4,4,12,14
"MSTRG.642",15,33,37,40,153,28,42,20,66,160
"MSTRG.643",1569,1427,1317,1521,1849,2009,1341,1284,1594,2022
"MSTRG.644",1974,1962,2180,2847,3388,2413,2104,1660,2660,2121
"MSTRG.645",0,1,0,1,0,1,1,4,3,0
"MSTRG.646",57,54,47,67,57,60,60,63,82,44
"MSTRG.647",0,0,0,0,0,0,0,0,0,0
"MSTRG.648",8,8,14,13,3,8,4,3,9,9
"MSTRG.649",113,86,128,119,133,165,113,135,206,208
"MSTRG.650",1,0,0,0,0,0,0,0,0,0
"MSTRG.651",1,0,0,0,0,0,1,0,0,0
"MSTRG.652",0,0,0,0,0,0,0,0,0,0
"MSTRG.653",397,352,262,275,185,397,297,266,245,114
"MSTRG.654",0,0,0,0,0,0,0,0,0,0
"MSTRG.655",245,151,178,171,89,184,169,203,121,53
"MSTRG.656",3,3,0,0,1,4,5,0,0,0
"MSTRG.657",18,14,4,10,6,44,31,10,10,11
"MSTRG.658",19,10,9,6,8,15,16,9,7,17
"MSTRG.659",1,2,0,1,1,1,1,1,0,5
"MSTRG.660",0,0,0,0,0,0,0,0,0,0
"MSTRG.661",0,0,1,0,0,1,0,0,0,0
"MSTRG.662",0,0,0,0,0,0,0,0,0,0
"MSTRG.663",73,91,20,62,35,17,79,4,54,12
"MSTRG.664",17,14,16,18,49,14,20,13,26,29
"MSTRG.665",7,7,10,6,13,7,12,5,9,20
"MSTRG.666",44,59,131,173,223,112,119,236,222,215
"MSTRG.667",44,86,214,132,143,70,119,11,177,182
"MSTRG.668",3,4,10,5,7,1,3,5,4,8
"MSTRG.669",0,0,0,0,0,0,0,0,0,0
"MSTRG.670",1,2,5,3,5,0,4,1,3,6
"MSTRG.671",0,2,8,4,23,4,12,10,17,11
"MSTRG.672",268,289,349,293,354,391,447,343,393,408
"MSTRG.673",1,1,1,2,1,5,0,0,1,3
"MSTRG.674",147,140,186,182,153,98,110,130,225,97
"MSTRG.675",6,7,16,10,12,7,13,2,8,102
"MSTRG.676",0,1,3,1,3,3,0,1,3,9
"MSTRG.677",40,61,62,72,42,65,115,13,50,43
"MSTRG.678",0,0,0,0,0,0,0,0,0,0
"MSTRG.679",0,0,0,0,0,0,0,0,0,1
"MSTRG.680",336,289,337,323,409,401,381,432,444,410
"MSTRG.681",0,0,0,0,0,0,0,0,0,0
"MSTRG.682",654,342,267,122,44,254,199,60,139,32
"MSTRG.683",1,0,0,0,0,0,0,0,0,0
"MSTRG.684",0,1,0,0,0,0,0,0,1,0
"MSTRG.685",4,6,10,12,5,2,3,0,1,1
"MSTRG.686",0,0,3,1,9,4,1,2,2,1
"MSTRG.687",20,58,93,152,258,71,114,269,265,174
"MSTRG.688",335,271,239,214,154,249,193,199,171,177
"MSTRG.689",1,6,4,0,5,2,1,0,3,4
"MSTRG.690",0,0,1,0,0,0,2,1,0,0
"MSTRG.691",0,0,2,0,2,0,0,0,2,0
"MSTRG.692",11,11,14,18,9,20,8,16,10,10
"MSTRG.693",0,1,0,2,0,1,1,0,1,0
"MSTRG.694",0,0,0,0,0,1,0,0,0,0
"MSTRG.695",0,1,4,1,1,2,3,2,1,2
"MSTRG.696",0,1,0,0,2,0,0,0,0,1
"MSTRG.697",225,164,107,112,175,136,121,73,113,346
"MSTRG.698",0,0,1,0,0,0,0,0,0,0
"MSTRG.699",0,0,0,0,0,0,0,0,0,0
"MSTRG.700",0,0,0,1,0,1,0,4,0,3
"MSTRG.701",6,5,2,1,5,3,4,2,3,4
"MSTRG.702",400,346,358,408,486,317,341,156,332,219
"MSTRG.703",2,3,3,3,4,2,0,0,3,3
"MSTRG.704",59,87,212,218,435,138,180,193,249,459
"MSTRG.705",3336,2782,2422,2435,2307,4665,3077,1917,2636,2396
"MSTRG.706",342,363,324,262,78,629,660,616,231,85
"MSTRG.707",1220,1107,1017,1051,847,1204,916,563,765,749
"MSTRG.708",264,328,460,473,1091,556,510,644,633,1500
"MSTRG.709",0,0,0,0,0,0,0,0,0,0
"MSTRG.710",0,1,1,1,2,3,2,3,2,6
"MSTRG.711",0,0,0,1,0,1,3,1,0,2
"MSTRG.712",1857,1681,1247,1345,966,1925,1339,1313,1165,965
"MSTRG.713",6788,5765,4793,4135,2765,5286,5121,5230,4729,3164
"MSTRG.714",1597,801,461,200,84,408,278,81,235,32
"MSTRG.715",55,39,26,56,42,95,37,40,49,90
"MSTRG.716",177,139,120,207,92,63,130,146,137,55
"MSTRG.717",1,0,0,0,0,3,5,0,3,2
"MSTRG.718",45,33,35,40,31,36,43,21,19,27
"MSTRG.719",379,474,613,845,771,386,362,477,574,367
"MSTRG.720",12,8,11,12,6,14,14,18,11,25
"MSTRG.721",75,92,162,140,97,121,158,17,143,145
"MSTRG.722",0,1,1,0,1,2,0,0,3,0
"MSTRG.723",464,230,153,63,16,167,101,41,66,10
"MSTRG.724",0,0,0,0,0,0,0,0,0,0
"MSTRG.725",22,41,62,19,97,15,43,21,39,24
"MSTRG.726",6,4,1,4,4,13,13,0,8,2
"MSTRG.727",287,231,185,199,125,299,187,146,174,271
"MSTRG.728",237,279,456,667,1879,282,351,518,679,1486
"MSTRG.729",1,1,1,0,2,3,1,0,1,1
"MSTRG.730",3,1,2,3,3,2,1,8,3,19
"MSTRG.731",20,26,21,30,18,7,1,6,4,3
"MSTRG.732",5,5,8,6,1,1,0,0,0,1
"MSTRG.733",1181,855,536,462,249,447,420,143,413,471
"MSTRG.734",115,104,100,101,67,73,109,87,61,44
"MSTRG.735",89,52,67,62,71,58,60,36,39,86
"MSTRG.736",740,497,474,366,323,454,447,247,369,656
"MSTRG.737",21,6,7,12,7,15,8,5,20,8
"MSTRG.738",17,19,15,15,24,33,30,26,19,29
"MSTRG.739",1,1,0,0,0,0,0,0,0,1
"MSTRG.740",549,444,517,380,328,563,404,363,391,356
"MSTRG.741",364,384,384,415,293,489,356,369,562,409
"MSTRG.742",12,21,20,14,18,5,19,15,12,34
"MSTRG.743",304,248,71,88,47,211,168,53,97,175
"MSTRG.744",31,43,22,32,16,20,32,10,30,18
"MSTRG.745",0,0,0,0,0,0,0,0,0,0
"MSTRG.746",1087,508,361,251,86,508,282,111,292,99
"MSTRG.747",3,4,2,1,1,6,4,2,1,5
"MSTRG.748",0,0,0,0,0,0,1,0,1,0
"MSTRG.749",7,7,4,14,4,8,10,4,10,1
"MSTRG.750",0,0,0,1,0,3,5,4,1,0
"MSTRG.751",15,11,4,6,10,5,15,6,8,32
"MSTRG.752",16,17,15,12,11,24,19,17,13,38
"MSTRG.753",23,18,34,8,14,25,23,11,11,133
"MSTRG.754",31,45,27,34,23,38,40,3,27,108
"MSTRG.755",0,0,0,0,0,0,0,0,0,0
"MSTRG.756",11,12,16,10,13,12,11,9,7,18
"MSTRG.757",17,12,21,33,88,10,10,14,28,246
"MSTRG.758",1079,1074,1273,1113,2872,747,866,1279,1355,985
"MSTRG.759",86,49,45,26,62,41,41,10,38,38
"MSTRG.760",3799,3850,4072,4145,3294,3111,3031,1667,2651,3619
"MSTRG.761",0,1,0,0,0,0,0,0,0,1
"MSTRG.762",35,35,45,42,20,50,49,15,38,34
"MSTRG.763",1355,1234,1057,872,395,1226,1013,939,856,376
"MSTRG.764",568,573,423,532,365,689,497,314,408,371
"MSTRG.765",70,69,81,81,81,99,61,93,77,65
"MSTRG.766",278,306,312,363,564,279,290,327,428,338
"MSTRG.767",244,178,176,156,232,183,134,123,151,127
"MSTRG.768",7,2,7,6,3,6,2,5,7,3
"MSTRG.769",565,567,415,523,359,681,491,315,404,367
"MSTRG.770",0,0,0,1,0,0,0,0,0,0
"MSTRG.771",3,0,2,0,3,2,1,2,4,19
"MSTRG.772",8,8,11,12,5,7,2,10,7,1
"MSTRG.773",633,490,358,333,146,522,360,263,270,189
"MSTRG.774",500,366,285,307,250,589,365,116,331,373
"MSTRG.775",5,10,6,18,80,6,9,20,15,17
"MSTRG.776",55,63,48,44,53,48,51,31,30,93
"MSTRG.777",0,0,2,0,0,0,0,1,3,0
"MSTRG.778",0,0,0,0,137,2,0,0,0,553
"MSTRG.779",67,47,23,23,24,99,50,45,44,44
"MSTRG.780",17,14,3,12,8,25,15,6,14,24
"MSTRG.781",2595,2424,2237,2398,2709,3501,2426,2153,2797,3156
"MSTRG.782",36,33,32,30,43,33,42,24,46,30
"MSTRG.783",0,0,0,0,1,0,0,0,0,1
"MSTRG.784",28,40,58,65,57,33,37,21,34,178
"MSTRG.785",1551,1068,918,812,594,1835,980,340,559,630
"MSTRG.786",4228,3820,4143,4653,3896,5833,4049,4501,4899,4953
"MSTRG.787",9,4,3,3,2,8,0,1,4,4
"MSTRG.788",352,250,287,233,101,272,194,162,197,136
"MSTRG.789",1960,1888,1955,1694,1241,2132,2425,2105,2306,548
"MSTRG.790",498,275,186,123,76,251,183,67,156,67
"MSTRG.791",163,191,154,202,140,150,145,221,142,109
"MSTRG.792",258,233,151,128,92,139,111,102,71,55
"MSTRG.793",539,483,535,660,828,488,462,646,661,480
"MSTRG.794",3071,2400,2428,2262,5439,2278,2594,3128,3159,5101
"MSTRG.795",350,255,275,292,192,285,243,252,245,154
"MSTRG.796",357,361,332,347,280,266,289,277,314,229
"MSTRG.797",977,874,897,851,626,791,873,880,956,717
"MSTRG.798",0,0,0,0,0,0,0,0,0,0
"MSTRG.799",93,103,95,79,121,59,99,123,104,138
"MSTRG.800",4,5,9,5,1,1,6,10,7,5
"MSTRG.801",21,31,41,35,22,38,34,38,55,28
"MSTRG.802",1186,1413,1384,1427,816,1040,1206,1541,1094,410
"MSTRG.803",643,691,695,689,857,569,689,711,741,1062
"MSTRG.804",3,3,3,3,0,4,6,4,2,9
"MSTRG.805",27,30,12,25,181,13,21,15,35,102
"MSTRG.806",152,157,169,202,164,128,211,140,222,105
"MSTRG.807",1060,1189,1188,1196,1173,1308,1187,1294,1274,1510
"MSTRG.808",4,11,55,44,25,21,12,41,30,66
"MSTRG.809",221,416,510,964,1564,437,636,1121,1041,1857
"MSTRG.810",170,216,216,311,862,200,209,552,493,252
"MSTRG.811",0,0,0,0,0,0,0,0,0,0
"MSTRG.812",0,0,0,0,0,0,0,0,0,0
"MSTRG.813",9,3,1,1,0,0,3,2,0,2
"MSTRG.814",2,1,2,1,1,0,0,0,1,7
"MSTRG.815",223,195,185,142,145,278,181,172,201,214
"MSTRG.816",0,0,0,0,0,0,0,0,0,0
"MSTRG.817",81,99,70,81,70,118,112,61,78,25
"MSTRG.818",75,79,92,95,100,69,114,71,132,102
"MSTRG.819",0,0,1,0,0,0,0,0,0,2
"MSTRG.820",580,466,396,339,143,394,366,291,327,160
"MSTRG.821",20,10,10,22,8,12,17,11,15,4
"MSTRG.822",3,5,6,11,11,4,2,10,8,7
"MSTRG.823",0,0,0,0,0,0,0,0,0,0
"MSTRG.824",0,0,0,0,0,0,0,0,0,0
"MSTRG.825",0,0,0,0,0,0,1,0,0,0
"MSTRG.826",57,29,33,41,53,47,34,20,46,48
"MSTRG.827",29,37,26,20,19,35,20,25,31,35
"MSTRG.828",0,0,0,1,7,0,0,2,1,5
"MSTRG.829",71,137,295,330,1378,123,226,318,361,1922
"MSTRG.830",0,0,1,3,1,0,1,0,0,0
"MSTRG.831",22,31,41,65,101,13,38,29,57,99
"MSTRG.832",547,518,602,703,2975,581,724,991,1155,3965
"MSTRG.833",5,4,3,11,17,10,7,7,8,26
"MSTRG.834",7,3,4,2,0,1,0,0,0,0
"MSTRG.835",63,43,27,8,0,9,13,5,0,0
"MSTRG.836",558,665,608,775,452,504,518,619,672,596
"MSTRG.837",19,20,19,22,15,19,17,13,29,16
"MSTRG.838",142,162,164,148,179,136,160,102,124,160
"MSTRG.839",450,403,339,416,456,431,406,441,501,391
"MSTRG.840",27,29,17,27,42,40,29,34,32,61
"MSTRG.841",1,3,6,9,10,1,6,11,10,1
"MSTRG.842",469,360,369,304,228,352,319,265,345,248
"MSTRG.843",2,3,0,1,2,3,1,3,2,1
"MSTRG.844",0,0,2,1,0,0,2,0,4,2
"MSTRG.845",0,0,0,0,0,0,1,0,0,0
"MSTRG.846",1,7,12,5,7,6,15,9,6,2
"MSTRG.847",390,362,436,436,436,424,357,329,412,277
"MSTRG.848",1180,1094,894,906,650,1372,1004,563,976,1129
"MSTRG.849",400,327,319,407,197,402,293,330,347,216
"MSTRG.850",0,0,0,1,0,0,1,0,1,0
"MSTRG.851",1,8,2,0,0,4,4,1,2,0
"MSTRG.852",503,470,412,494,383,513,470,604,588,344
"MSTRG.853",6,2,2,3,4,5,1,12,8,42
"MSTRG.854",28,52,19,28,13,21,56,9,34,10
"MSTRG.855",4,3,9,6,6,7,5,6,5,9
"MSTRG.856",128,77,101,73,138,233,139,132,126,385
"MSTRG.857",0,1,0,0,0,0,0,0,0,5
"MSTRG.858",6,5,2,10,6,5,11,5,7,6
"MSTRG.859",1,0,1,0,1,1,5,2,2,12
"MSTRG.860",15156,14339,16547,15955,21673,13713,15157,14813,18082,34419
"MSTRG.861",1,0,0,0,1,1,0,0,1,0
"MSTRG.862",443,468,949,781,2739,627,672,823,857,6470
"MSTRG.863",126,54,34,17,3,46,3,13,6,4
"MSTRG.864",788,806,619,813,1289,1085,986,1529,1358,1758
"MSTRG.865",1171,1016,865,834,821,957,845,686,849,938
"MSTRG.866",57,70,100,75,14,5,6,0,1,0
"MSTRG.867",0,11,65,2,1,116,107,20,150,39
"MSTRG.868",0,0,0,0,0,1,0,0,0,0
"MSTRG.869",0,0,0,0,0,0,0,0,0,0
"MSTRG.870",1,0,1,0,0,6,2,0,3,2
"MSTRG.871",1,0,0,0,0,0,0,0,0,0
"MSTRG.872",1248,1250,1299,1205,787,1696,1329,837,1147,1402
"MSTRG.873",0,0,0,0,0,0,0,0,0,0
"MSTRG.874",4,2,0,1,2,2,4,0,3,2
"MSTRG.875",2261,3051,3533,3167,1228,2533,3339,3728,3662,1684
"MSTRG.876",109,135,64,65,108,92,122,117,130,148
"MSTRG.877",506,432,399,372,250,394,290,227,211,225
"MSTRG.878",684,634,395,348,357,402,564,469,390,526
"MSTRG.879",115,195,268,308,151,202,273,372,430,91
"MSTRG.880",1210,1644,1580,1762,1774,1257,1709,2057,1846,1105
"MSTRG.881",6,12,20,9,8,8,13,15,13,3
"MSTRG.882",1,2,2,3,3,1,4,2,4,1
"MSTRG.883",4,3,5,4,13,10,4,10,12,33
"MSTRG.884",0,0,1,0,0,9,1,0,4,1
"MSTRG.885",0,0,0,0,0,0,0,0,0,0
"MSTRG.886",0,3,15,1,0,61,18,4,19,33
"MSTRG.887",0,0,3,0,0,24,4,0,8,7
"MSTRG.888",0,0,16,0,0,72,15,1,8,25
"MSTRG.889",14,6,18,13,26,20,17,32,25,15
