"","B14.5new.bam","B15.5new.bam","B17.5new.bam","B20new.bam","B34new.bam","C14.5new.bam","C15.5new.bam","C17.5new.bam","C20new.bam","C34new.bam"
"MSTRG.109",0,0,0,1,2,2,0,0,1,0
"MSTRG.110",245,266,335,374,287,166,245,424,464,210
"MSTRG.111",3,1,1,3,0,3,2,4,1,4
"MSTRG.112",719,687,665,680,1238,760,769,1078,1045,1004
"MSTRG.113",70,64,76,88,601,73,72,46,44,44
"MSTRG.114",242,259,470,271,116,249,507,175,258,42
"MSTRG.115",69,168,371,590,2821,106,302,1067,1193,1405
"MSTRG.116",4,7,6,12,10,5,13,13,19,8
"MSTRG.117",202,178,150,146,146,119,160,149,213,246
"MSTRG.118",3495,4229,4319,4424,4285,2721,4133,6351,4445,1584
"MSTRG.119",1004,1249,1336,1571,2552,1426,1504,2148,1919,2868
"MSTRG.120",14,12,22,24,9,13,16,23,24,14
"MSTRG.121",1168,1491,1931,2126,1630,1638,1961,2447,2685,663
"MSTRG.122",0,0,0,1,0,0,0,0,0,0
"MSTRG.123",0,2,0,0,0,0,0,0,0,0
"MSTRG.124",5478,4699,4215,3920,3220,5368,4201,4451,3561,3414
"MSTRG.125",2,0,1,1,3,4,4,0,3,6
"MSTRG.126",185,201,245,315,417,154,254,350,321,188
"MSTRG.127",3,1,4,1,3,5,5,2,2,0
"MSTRG.128",1,3,14,13,36,5,10,19,21,29
"MSTRG.129",934,1016,798,850,415,592,774,1017,768,367
"MSTRG.130",449,352,211,214,241,394,297,324,227,269
"MSTRG.131",1200,1154,1119,948,663,1438,1036,1278,951,892
"MSTRG.132",6,6,7,15,11,7,6,10,16,9
"MSTRG.133",3,3,2,1,5,2,2,3,1,3
"MSTRG.134",0,0,0,0,0,0,0,0,0,0
"MSTRG.135",1566,1839,1763,1696,1139,1210,1573,2623,1603,934
"MSTRG.136",386,434,410,399,479,294,478,527,461,388
"MSTRG.137",0,0,0,0,0,0,0,0,0,0
"MSTRG.138",694,527,410,487,323,412,439,560,511,331
"MSTRG.139",2,2,4,2,3,1,3,3,1,2
"MSTRG.140",255,315,291,411,548,236,339,504,411,477
"MSTRG.141",685,732,562,608,318,566,742,806,721,466
"MSTRG.142",35,26,16,16,14,35,28,36,18,16
"MSTRG.143",228,242,238,232,138,208,315,253,285,172
"MSTRG.144",460,460,379,346,253,406,411,449,348,627
"MSTRG.145",2,3,2,1,0,2,1,5,3,1
"MSTRG.146",14873,13876,14639,14564,12819,11412,13606,16902,12467,6662
"MSTRG.147",684,929,1009,928,991,935,1114,1553,1234,1398
"MSTRG.148",30,29,38,29,29,33,36,19,48,39
"MSTRG.149",44,50,45,52,33,53,57,22,48,42
"MSTRG.150",30,24,31,31,28,50,25,31,32,87
"MSTRG.151",3,3,1,1,1,3,2,2,4,2
"MSTRG.152",0,0,0,1,0,0,0,0,0,0
"MSTRG.153",34,58,42,71,64,36,47,45,69,33
"MSTRG.154",272,247,205,145,173,169,175,218,182,236
"MSTRG.155",822,763,676,758,668,787,748,886,775,720
"MSTRG.156",447,558,548,447,337,339,455,541,441,352
"MSTRG.157",2040,2363,2107,2087,1352,1563,2595,2277,2666,998
"MSTRG.158",0,0,0,0,0,0,0,0,0,0
"MSTRG.159",293,274,319,232,266,199,318,232,260,305
"MSTRG.160",1,0,0,0,0,0,0,0,1,1
"MSTRG.161",439,503,491,515,436,477,445,752,642,230
"MSTRG.162",0,2,6,2,0,3,1,2,1,0
"MSTRG.163",1307,1529,1213,1123,563,794,1271,1325,1047,303
"MSTRG.164",772,667,755,539,448,475,679,519,892,1995
"MSTRG.165",921,1016,1083,1078,1070,939,1144,1578,1246,1122
"MSTRG.166",12,6,7,6,2,11,5,16,3,9
"MSTRG.167",90,81,67,71,35,142,75,86,55,31
"MSTRG.168",5485,5002,4865,11943,12379,7463,4254,4126,7154,10056
"MSTRG.169",0,0,0,0,0,0,0,0,0,0
"MSTRG.170",104,119,148,221,381,162,171,78,293,3134
"MSTRG.171",1,1,0,2,0,0,2,0,3,1
"MSTRG.172",217,221,134,127,157,134,184,126,171,357
"MSTRG.173",22,29,30,32,70,23,26,18,32,39
"MSTRG.174",161,142,99,99,45,162,112,170,105,45
"MSTRG.175",1617,1555,1447,941,828,1695,1397,1340,1137,1210
"MSTRG.176",26,14,20,27,45,17,17,26,38,44
"MSTRG.177",58,184,207,125,169,126,300,537,271,397
"MSTRG.178",655,475,323,204,130,277,327,239,229,135
"MSTRG.179",48,80,122,117,268,93,146,249,181,276
"MSTRG.180",1,1,3,6,5,3,3,3,3,16
"MSTRG.181",0,0,0,0,0,0,1,0,0,0
"MSTRG.182",53,45,58,30,33,49,44,45,31,49
"MSTRG.183",21,29,27,17,10,41,24,22,7,26
"MSTRG.184",634,761,812,770,777,552,840,883,880,654
"MSTRG.185",696,540,465,459,603,537,503,568,461,550
"MSTRG.186",1,1,0,1,1,0,1,0,0,0
"MSTRG.187",2927,2709,1905,1760,1235,1798,2400,2605,2010,1126
"MSTRG.188",123,153,91,136,193,77,121,157,148,105
"MSTRG.189",1392,1589,1600,1614,1130,1377,1803,2217,1742,1109
"MSTRG.190",5,1,3,5,1,1,0,3,2,1
"MSTRG.191",225,130,46,33,4,68,51,12,38,2
"MSTRG.192",17,17,6,3,1,5,5,0,4,0
"MSTRG.193",72,55,44,35,7,22,24,23,30,6
"MSTRG.194",153,160,137,145,149,98,138,211,155,87
"MSTRG.195",293,326,326,363,353,361,364,543,445,423
"MSTRG.196",432,400,370,404,365,423,545,751,562,554
"MSTRG.197",23,6,22,18,8,20,12,32,27,15
"MSTRG.198",1,0,2,1,3,0,1,0,0,1
"MSTRG.199",0,0,0,0,0,0,0,0,0,0
"MSTRG.200",26,25,23,39,38,23,27,32,38,15
"MSTRG.201",2,1,1,4,0,1,0,1,3,1
"MSTRG.202",1134,1594,1869,2146,2709,1149,1747,3033,2685,2206
"MSTRG.203",628,741,842,740,838,652,974,951,1074,845
"MSTRG.204",0,0,0,0,0,0,2,0,0,0
"MSTRG.205",0,0,0,0,0,0,0,0,0,1
"MSTRG.206",1098,1254,1355,1092,515,1202,1377,1599,1295,903
"MSTRG.207",12,22,11,11,3,22,17,12,12,13
"MSTRG.208",204,232,210,183,108,217,269,263,302,822
"MSTRG.209",1315,1382,1290,1064,925,1077,1244,1313,1146,698
"MSTRG.210",719,909,985,931,1012,881,1196,1345,1404,1961
"MSTRG.211",6,11,2,11,11,5,6,6,7,14
"MSTRG.212",4414,4237,3821,3550,2436,3591,3458,3098,3098,2452
"MSTRG.213",32,33,80,54,315,38,91,63,145,955
"MSTRG.214",7,19,16,12,16,7,16,6,9,9
